行政區域代碼,業者名稱店名,食品業者登錄字號,地址,評核結果
63000030,樂麵屋 (永康公園店),A-128514120-00004-5,臺北市大安區永康街10巷3號,優
63000030,Rice℃afé杓文字,A-142863611-00002-1,臺北市大安區永康街10巷7號,優
63000050,成功高中-紅太陽廚房,A-189780471-00007-9,臺北市中正區濟南路1段71號,優
63000030,和平國民小學午餐廚房(中原食品),A-122640634-00025-2,臺北市大安區敦南街76巷28號,優
63000050,和逸飯店-台北忠孝館,A-154180916-00001-3,臺北市中正區忠孝東路1段31號,優
63000060,饗食天堂京站店,A-179955280-00112-7,臺北市大同區承德路1段1號4樓,優
63000060,開飯川食堂京站店,A-179955280-00121-7,臺北市大同區承德路1段1號4樓,優
63000050,成功高中-熱食一 (品大餐飲),A-200209691-00001-7,臺北市中正區濟南路1段71號,優
63000060,鬍鬚張-美食文化館,A-122721208-00002-4,臺北市大同區寧夏路54號,優
63000050,開南高級中等學校熱食部 (冠霖物流),A-127754430-00004-4,臺北市中正區濟南路1段6號,優
63000120,大屯國民小學午餐廚房 (中原食品),A-122640634-00022-9,臺北市北投區復興三路312號,優
63000120,麥當勞-台北中央,A-112411160-01114-1,臺北市北投區中央北路4段532號1樓,優
63000100,Mo-Mo-Paradise 內湖大潤發牧場,A-116098275-00038-7,臺北市內湖區舊宗路1段188號,優
63000100,麥當勞-內湖金龍,A-112411160-01697-7,臺北市內湖區金龍路6號,優
63000100,樂雅樂餐廳-西湖店,A-123932737-00067-7,臺北市內湖區瑞光路583巷31號1樓,優
63000100,北村豆腐家-內湖潤泰店,A-128841757-00032-5,臺北市內湖區成功路4段188號2樓,良
63000120,西雅圖極品咖啡-振興醫院店,A-116852172-00019-0,臺北市北投區振興街45號,優
63000120,樂雅樂餐廳-北投店,A-123932737-00001-5,臺北市北投區北投路2段9號1樓,優
63000120,鬍鬚張-台北石牌店,F-122721208-00051-3,臺北市北投區石牌路2段25號,優
63000100,鬍鬚張-內湖瑞光店,A-122721208-00037-2,臺北市內湖區瑞光路301號,優
63000120,小王子的飛行旅程餐廳-國立臺北藝術大學,A-152610926-00012-2,臺北市北投區學園路1號,優
63000120,達文西廚房-國立臺北藝術大學,A-183052094-00000-9,臺北市北投區學園路1號,優
63000100,築間-台北內湖店,A-183293333-00079-8,臺北市內湖區內湖路1段318號,優
63000120,悅廚-振興醫院店,A-179394302-00001-6,臺北市北投區振興街45號,優
63000110,麥當勞 - 士林餐廳,A-112411160-00855-2,臺北市士林區中山北路5段602號,優
63000110,士林 萬麗酒店 宴會廳,A-153751439-00003-8,臺北市士林區中山北路5段470巷8號,優
63000110,士林 萬麗酒店 Tea Lab茶坊,A-153751439-00004-9,臺北市士林區中山北路5段470巷8號,優
