專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20240903,小葉菜類,青江菜,111,無市招菜攤(李O立)/臺北市士林區文林路101巷26號前攤販,不符合規定,"殺蟲劑Chlorfenapyr 克凡派1.1ppm(標準：1.0ppm以下) 
殺蟲劑Cyantraniliprole 賽安勃0.13ppm(標準：不得檢出) 
殺蟲劑Fipronil 芬普尼0.237ppm、Fipronil-sulfone芬普尼代謝物0.070ppm(標準：0.001ppm以下) 
殺蟲劑Pyriproxyfen 百利普芬0.59ppm(標準：0.01ppm以下) "
蔬果,20240906,小葉菜類,芹菜,104,第二果菜批發市場第23-13號攤(張O淳)/臺北市中山區民族東路336號,不符合規定,"除草劑Metolachlor 莫多草0.04ppm(標準：0.01ppm以下) 
殺草劑Pendimethalin 施得圃0.2ppm(標準：0.1ppm以下) 
殺菌劑Pyraclostrobin 百克敏2.5ppm(標準：2.0ppm以下) 
殺蟲劑Terbufos 托福松0.07ppm(標準：0.05ppm以下)  "
蔬果,20240902,香辛植物及其他草木本植物,香菜(芫荽),112,易長泓有限公司石牌營業所（旺佳佳越法新麵包石牌店）/臺北市北投區石牌路2段72號,不符合規定,"殺蟲劑3-OH Carbofuran3羥基加保扶0.01ppm、Carbofuran 加保扶0.01ppm(標準：不得檢出) 
殺蟲劑Chlorpyrifos 陶斯松0.01ppm(標準：不得檢出) 
殺菌劑Pencycuron 賓克隆0.02ppm(標準：0.01ppm以下) "
蔬果,20240904,香辛植物及其他草木本植物,香菜(芫荽),104,第二果菜批發市場第17-11號攤(莊O逸)/臺北市中山區民族東路336號,不符合規定,"殺草劑Ametryn 草殺淨0.04ppm(標準：不得檢出) 
殺菌劑Hexaconazole 菲克利0.02ppm(標準：0.01ppm以下) "
蔬果,20240903,小葉菜類,青蔥,108,22號蔬果園/臺北市萬華區西藏路125巷22號1樓,不符合規定,"殺蟲劑Fipronil-sulfone芬普尼代謝物0.007ppm(標準：0.001ppm以下) 
殺菌劑Fluxapyroxad 氟克殺0.7ppm(標準：0.6ppm以下) "
蔬果,20240903,小葉菜類,青江菜,105,兄弟大飯店股份有限公司(兄弟大飯店)/臺北市松山區南京東路3段255號,不符合規定,殺蟲劑Cyantraniliprole 賽安勃0.34ppm(標準：不得檢出) 
蔬果,20240902,小葉菜類,青蔥,112,蘇杭企業股份有限公司天母分公司(蘇杭365)/臺北市北投區明德路365號,不符合規定,殺菌劑Thifluzamide 賽氟滅0.16ppm(標準：不得檢出) 
蔬果,20240906,小葉菜類,青蔥,104,第二果菜批發市場第19-13號攤(胡O傑)/臺北市中山區民族東路336號,不符合規定,殺蟎劑Ethion 愛殺松0.04ppm(標準：不得檢出) 
蔬果,20240904,小葉菜類,進口西洋芹,110,遠百企業股份有限公司忠孝分公司(愛買忠孝店)/臺北市信義區忠孝東路5段297號地下3樓,不符合規定,殺蟲劑Cyantraniliprole 賽安勃0.02ppm(標準：不得檢出) 
蔬果,20240903,小葉菜類,九層塔(羅勒),111,士林素食館(士林健康素食)/臺北市士林區中正路281號,不符合規定,殺菌劑Pyraclostrobin 百克敏0.48ppm(標準：0.01ppm以下) 
